Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939
Hungary,9985722,9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769562
Portugal,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909
Sweeden,9415570,9482855,9555893,9644864,9747335,9851017,9995153,10120242,10230185,10327589
