Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,4.3,4.3,4.1,4.3,4.6,4.8,5,5.1,5.1,4.2
Hungary,3.6,3.6,3.7,3.9,4.7,5.3,5.2,5.2,6.7,6.9
Portugal,3.8,3.4,3.3,3.1,3,3.1,3.3,3.4,3.2,1.8
Sweeden,5,5.3,5.4,5.5,5.3,5.4,5.2,5,4.7,3.6
