Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,28.1,28.3,28.5,28.7,28.8,29.0,29.1,29.2,29.4,29.7
Greece,29.4,29.5,29.7,29.9,30.1,30.1,30.3,30.3,30.7,30.7
Hungary,28.6,-,29,29.3,29.2,29.2,29.4,29.6,29.6,29.5
Portugal,28.0,28.4,-,29.8,30.2,30.4,30.7,31.1,31.5,32.3
Sweden,33.0,33.3,33.0,33.3,33.6,33.8,33.8,34.0,34.1,34.8
