Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,31.0,31.2,31.3,31.4,31.6,31.7,31.8,31.9,32,32.4
Greece,32.7,32.8,32.9,33.0,33.2,33.2,33.3,33.4,33.7,33.8
Hungary,31.6,-,31.9,32.1,32,32.1,32.3,32.4,32.4,32.4
Portugal,30.1,30.4,-,31.5,31.9,32.2,32.5,32.9,33.2,34
Sweden,35.5,35.9,35.7,35.8,36.2,36.5,36.6,36.7,36.7,37.5
